epoch,total_epochs,train_loss,val_loss,train_time_s,val_time_s,best_saved,best_val_loss,earlystop_counter,earlystop_patience,early_stop_triggered
1,40,0.146665,0.182693,127.2,21.1,1,0.1827,,,0
2,40,0.114724,0.179258,126.8,20.6,1,0.1793,,,0
3,40,0.110784,0.133818,127.6,20.8,1,0.1338,,,0
4,40,0.107146,0.129909,127.4,20.9,1,0.1299,,,0
5,40,0.104914,0.119867,127.4,20.7,1,0.1199,,,0
6,40,0.102743,0.124656,127.1,20.8,0,,1,7,0
7,40,0.102986,0.123776,127.0,20.6,0,,2,7,0
8,40,0.10102,0.112594,127.1,20.5,1,0.1126,,,0
9,40,0.100534,0.117999,126.9,20.7,0,,1,7,0
10,40,0.099038,0.121383,127.1,20.6,0,,2,7,0
11,40,0.099871,0.141515,127.2,20.5,0,,3,7,0
12,40,0.097663,0.117791,126.9,20.7,0,,4,7,0
13,40,0.094032,0.106966,126.9,20.7,1,0.1070,,,0
14,40,0.09324,0.112703,127.1,20.5,0,,1,7,0
15,40,0.092696,0.105602,127.1,20.8,1,0.1056,,,0
16,40,0.091884,0.102236,126.3,20.6,1,0.1022,,,0
17,40,0.091057,0.103643,126.5,20.4,0,,1,7,0
18,40,0.091277,0.106795,126.4,20.6,0,,2,7,0
19,40,0.090852,0.105304,126.4,20.4,0,,3,7,0
20,40,0.090556,0.105721,126.2,20.4,0,,4,7,0
21,40,0.088494,0.102647,126.3,20.7,0,,5,7,0
22,40,0.087672,0.102154,126.7,20.4,1,0.1022,,,0
23,40,0.087618,0.101375,126.3,20.5,1,0.1014,,,0
24,40,0.087363,0.103307,126.1,20.5,0,,1,7,0
25,40,0.087153,0.102468,126.2,20.5,0,,2,7,0
26,40,0.086917,0.102364,126.1,20.5,0,,3,7,0
27,40,0.086479,0.103301,126.2,20.6,0,,4,7,0
28,40,0.085448,0.100633,126.3,20.5,1,0.1006,,,0
29,40,0.085157,0.10037,126.2,20.5,1,0.1004,,,0
30,40,0.084984,0.101504,126.0,20.5,0,,1,7,0
31,40,0.084777,0.1004,126.3,20.5,0,,2,7,0
32,40,0.084668,0.101146,126.6,20.7,0,,3,7,0
33,40,0.084559,0.10061,126.3,20.7,0,,4,7,0
34,40,0.083945,0.100717,126.3,20.5,0,,5,7,0
35,40,0.08385,0.100224,126.5,20.7,1,0.1002,,,0
36,40,0.083861,0.100411,126.4,20.5,0,,1,7,0
37,40,0.083631,0.100614,126.6,20.6,0,,2,7,0
38,40,0.083503,0.100579,126.6,20.7,0,,3,7,0
39,40,0.083475,0.099983,126.5,20.7,1,0.1000,,,0
40,40,0.083359,0.100211,126.5,20.7,0,,1,7,0
